ano,id_microrregiao,sigla_uf,primeiro_ano_tratamento,tratado,pos_tratamento,area_plantada_arroz,area_plantada_cana,area_plantada_outras,area_plantada_soja,valor_producao_arroz,valor_producao_cana,valor_producao_outras,valor_producao_soja,valor_producao_nominal_arroz,valor_producao_nominal_cana,valor_producao_nominal_outras,valor_producao_nominal_soja,area_total_km2,populacao_total,pib_total,pib_per_capita,pib_agropecuario,precip_total_anual_mm,precip_media_mensal_mm,precip_max_mensal_mm
2020,43008,RS,2001,1,1,0.0,0.0,55.18631461395236,4033.5482269633285,0.0,437.42,230732.0,532512.7,0.0,889.0,468932.0,1082261.0,5099.730079540848,192099,9565866000,49796.54,1466625000,698.5682964324949,3.8809349801805286,8.661382463243273
2021,43008,RS,2001,1,1,0.0,0.0,62.29784541748041,4154.795100950455,0.0,457.47,298471.53,1191336.45,0.0,1259.0,821429.0,3278699.0,5099.730079540852,192477,13340520000,69309.68,3300829000,575.0460624694824,3.19470034705268,8.029541439480251
2022,43008,RS,2001,1,1,0.0,0.0,0.0,0.0,82.61,205.87,375369.25,350530.74,252.0,628.0,1145051.0,1069282.0,0.0,191392,,,,755.1880677541099,4.195489265300609,8.081476423475475
2023,43008,RS,2001,1,1,0.0,0.0,0.0,0.0,126.27,234.64,169229.03,483284.59,360.0,669.0,482496.0,1377913.0,0.0,,,,,1117.1744028727214,6.206524460404009,15.657441880967895
2003,43009,RS,2008,1,0,0.0,0.0,221.9690174534276,3400.5098170321226,1649.95,4010.2,320762.57,689909.66,1108.0,2693.0,215404.0,463300.0,4936.006451863003,160534,1877407000,11694.76,577610000,1126.5132427215578,5.215339086673877,12.461158964369034
2004,43009,RS,2008,1,0,0.0,0.0,170.35127112829585,3475.9662262860934,2955.05,3584.62,275692.21,470731.14,2192.0,2659.0,204503.0,349179.0,4936.0064518631325,161589,1798223000,11128.38,458417000,961.39923731486,4.450922394976204,7.437705993652344
2005,43009,RS,2008,1,0,0.0,0.0,102.26595608404531,3559.8511456083006,959.05,4205.24,188440.32,110898.1,751.0,3293.0,147562.0,86841.0,4936.006451863135,162174,1472509000,9079.81,204969000,1162.6919110616047,5.382832921581503,9.182726895367658
2006,43009,RS,2008,1,0,0.0,0.0,100.62968467236328,3596.4636533930257,1360.52,4587.0,196095.68,318838.69,1074.0,3621.0,154799.0,251693.0,4936.006451863072,162753,1786207000,10974.96,356924000,961.9321823120117,4.453389732925981,7.914790400752316
2007,43009,RS,2008,1,0,0.0,0.0,87.67276170770248,3629.1570106256386,1273.99,5431.85,241436.45,430145.12,1062.0,4528.0,201262.0,358570.0,4936.006451863139,158669,2163993000,13638.41,479693000,1257.1897506713865,5.820322919774939,8.750491672092016
2008,43009,RS,2008,1,1,0.0,0.0,146.59431152239952,3582.7025176127395,1108.82,4583.0,261764.92,446761.41,1051.0,4344.0,248114.0,423463.0,4936.006451863179,163750,2507826000,15314.97,587843000,994.6026802062989,4.604642037992125,9.862308148984564
2009,43009,RS,2008,1,1,0.0,0.0,118.73955525054954,3614.069725596219,779.17,5448.88,198285.85,496328.35,737.0,5154.0,187555.0,469468.0,4936.006451863138,164096,2467978000,15039.84,542145000,1131.17790222168,5.236934732507776,10.255707634819881
2010,43009,RS,2008,1,1,0.0,0.0,126.706036171448,3600.7380249207476,501.0,5132.0,257981.0,503034.0,501.0,5132.0,257981.0,503034.0,4936.006451863133,159953,3090952000,19324.13,667767000,1129.9161911010742,5.231093477319787,7.727278603447808
2011,43009,RS,2008,1,1,0.0,0.0,110.10780636895744,3610.629583883757,56.65,4076.94,301940.84,525127.02,62.0,4462.0,330459.0,574725.0,4936.00645186313,160032,3664347000,22897.59,760345000,1113.4923299153645,5.155057082941503,9.11765628390842
2012,43009,RS,2008,1,1,0.0,0.0,74.67953229803456,3640.8905306376223,16.4,3613.83,154304.9,256883.17,19.0,4188.0,178821.0,297697.0,4936.006451863159,160112,3527956000,22034.3,483968000,867.0094013214111,4.013932413525052,9.003833488181789
